SiteID,Original SiteID,Date,Time,X,Y,Conductivity (uS/cm),Specific Conductance (uS/CM 25C),Temperature C,Sample ID:,Discharge,Stream Width (m),Notes
,DC3,7/6/22,10:24,43.0350314,-89.229498,633.5,671.7921527,22,DC3_20220706,yes,7.6,
,DC1,7/6/22,10:46,43.035427,-89.2148638,684,780.3764974,18.5,DC1_20220706,yes,3.4,
,DC9,7/6/22,11:08,43.0412541,-89.2028267,641.7,724.2663657,19,DC9_20220706,yes,4.3,
,DC4,7/6/22,11:33,43.0129319,-89.2366219,726,753.190165,23.1,DC4_20220706,yes,8.2,
,MR1,7/6/22,12:06,43.071051,-89.2394972,516.4,537.8606395,22.9,MR1_20220706,yes,3.3,
,MR9,7/6/22,12:21,43.085695,-89.25448,554.6,576.5072765,23,MR9_20220706,no,na,Busy road. 
,MR5,7/6/22,12:33,43.0957996,-89.265026,198.4,212.1017746,21.6,MR5_20220706,no,na,Low flow
,MR4,7/6/22,12:52,43.1060589,-89.2460847,670.9,770.4409738,18.2,MR4_20220706,no,na,Bad access (near private property)
,MR2,7/6/22,13:05,43.1112142,-89.24006279,648.4,700.2916082,21.1,MR2_20220706,no,na,
,MO2,7/8/22,9:54,43.0498188,-89.33687,569,575.5614,24.4,MO2_20220708,USGS,na,
,MO3,7/8/22,10:12,43.0600109,-89.3455155,602.6,602.6,25,MO3_20220708,no,na,too wide/low flow
,MO8,7/8/22,10:21,43.0643731,-89.3423653,832.4,845.247766,24.2,MO8_20220708,no,na,not sure of outflow to lake monona. Raining. 
,MO9,7/8/22,10:45,43.0452445,-89.3263149,560.1,563.310872,24.7,MO9_20220708,USGS,na,"Yahara, too wide"
,MO7,7/8/22,11:10,43.047623,-89.313639,1188,1309.956996,20.1,MO7_20220708,yes,7.2,Yahara UW Health
,MO6,7/8/22,11:34,43.050623,-89.312979,1196,1358.627741,18.7,MO6_20220708,no,na,low flow. Upstream of MO7
,MO1,7/8/22,11:45,43.0518461,-89.3093848,1120,1240.172738,19.9,MO1_20220708,no,na,Low flow/Stagnant. 
,MO4,7/8/22,11:57,43.0454876,-89.2867148,900.7,980.8341501,20.7,MO4_20220708,no,na,no access to get into stream
,MO5,7/8/22,12:07,43.0517912,-89.2816508,900.7,1003.67729,19.6,MO5_20220708,yes,2.7, 
